anime_id,name,genre,Comedy,Sport,type,episodes,rating,members
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",1,33,TV,10,9.15,93351
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",1,33,TV,25,8.93,179342
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",1,25,TV,75,8.83,157670
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",1,25,TV,26,8.75,88995
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",1,33,TV,25,8.68,284498
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",1,25,TV,25,8.68,66756
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",1,26,TV,25,8.62,184525
32995,Yuri!!! on Ice,"Comedy, Sports",1,9,TV,12,8.61,103178
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",1,26,TV,25,8.58,243325
5028,Major S5,"Comedy, Drama, Romance, Sports",1,25,TV,25,8.58,28653
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",1,33,TV,101,8.56,82570
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",1,33,TV,50,8.53,53108
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",1,26,TV,51,8.5,38531
7655,Major S6,"Comedy, Drama, Sports",1,16,TV,25,8.49,24788
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",1,26,TV,25,8.46,338315
627,Major S1,"Comedy, Drama, Shounen, Sports",1,25,TV,26,8.42,41061
558,Major S2,"Comedy, Drama, Shounen, Sports",1,25,TV,26,8.41,30689
3226,Major S4,"Comedy, Drama, Shounen, Sports",1,25,TV,26,8.35,28002
24277,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",1,25,TV,24,8.28,50778
18689,Diamond no Ace,"Comedy, School, Shounen, Sports",1,26,TV,75,8.25,81384
7720,Ookiku Furikabutte: Natsu no Taikai-hen,"Comedy, Sports",1,9,TV,13,8.2,22190
18179,Yowamushi Pedal,"Comedy, Drama, Shounen, Sports",1,25,TV,38,8.16,91138
2159,Ookiku Furikabutte,"Comedy, Sports",1,9,TV,25,8.11,49599
15,Eyeshield 21,"Action, Comedy, Shounen, Sports",9,26,TV,145,8.08,83648
22,Prince of Tennis,"Action, Comedy, School, Shounen, Sports",9,34,TV,178,8.04,87643
